time	marker	pupilArea	pupilDiam	pupilDiam_mm	centroid.x	centroid.y	rect.w	rect.h	huMoments[0]
0	0	11113	118.952	6.57192	281	82	132	109	0.162604
0.0333333	0	11113	118.952	6.57192	281	82	132	109	0.162604
0.0666667	0	11113	118.952	6.57192	281	82	132	109	0.162604
0.1	0	11150	119.15	6.58285	281	81	131	109	0.16235
0.133333	0	11150	119.15	6.58285	281	81	131	109	0.16235
0.166667	0	11150	119.15	6.58285	281	81	131	109	0.16235
0.2	0	11083	118.791	6.56304	281	82	131	109	0.162659
0.233333	0	11086	118.807	6.56393	281	82	131	109	0.162672
0.266667	0	11086	118.807	6.56393	281	82	131	109	0.162672
0.3	0	10605	116.201	6.41996	284	81	125	109	0.161494
0.333333	0	10605	116.201	6.41996	284	81	125	109	0.161494
0.366667	0	10605	116.201	6.41996	284	81	125	109	0.161494
0.4	0	11031	118.512	6.54763	280	82	132	106	0.162833
0.433333	0	11032	118.517	6.54793	280	82	132	106	0.162838
0.466667	0	11032	118.517	6.54793	280	82	132	106	0.162838
0.5	0	11052	118.625	6.55386	280	81	132	107	0.162656
0.533333	0	11049	118.609	6.55297	280	81	132	107	0.16266
0.566667	0	11049	118.609	6.55297	280	81	132	107	0.16266
0.6	0	10323	114.646	6.33402	285	82	125	106	0.161719
0.633333	0	10478	115.503	6.3814	284	81	125	106	0.1617
0.666667	0	10478	115.503	6.3814	284	81	125	106	0.1617
0.7	0	10599	116.168	6.41814	286	83	126	108	0.161471
0.733333	0	10600	116.174	6.41844	286	83	126	108	0.161475
0.766667	0	10600	116.174	6.41844	286	83	126	108	0.161475
0.8	0	11161	119.208	6.5861	283	83	132	107	0.162769
0.833333	0	11160	119.203	6.5858	283	83	132	107	0.162792
0.866667	0	11160	119.203	6.5858	283	83	132	107	0.162792
0.9	0	10961	118.135	6.52682	284	83	130	106	0.162344
0.933333	0	10961	118.135	6.52682	284	83	130	106	0.162344
0.966667	0	10961	118.135	6.52682	284	83	130	106	0.162344
1	0	11233	119.592	6.60731	281	83	132	108	0.162715
1.03333	0	11226	119.555	6.60525	281	83	132	108	0.162745
1.06667	0	11226	119.555	6.60525	281	83	132	108	0.162745
1.1	0	11317	120.039	6.63197	281	83	135	107	0.163256
1.13333	0	11328	120.097	6.63519	281	83	135	107	0.16319
1.16667	0	11328	120.097	6.63519	281	83	135	107	0.16319
1.2	0	11328	120.097	6.63519	281	83	135	107	0.16319
1.23333	0	11197	119.4	6.59671	281	83	135	107	0.163496
1.26667	0	11197	119.4	6.59671	281	83	135	107	0.163496
1.3	0	10882	117.709	6.50326	283	82	128	108	0.16193
1.33333	0	10883	117.714	6.50356	283	82	128	108	0.16193
1.36667	0	11373	120.335	6.64835	280	82	134	109	0.162876
1.4	0	11372	120.33	6.64806	280	82	134	109	0.162878
1.43333	0	11372	120.33	6.64806	280	82	134	109	0.162878
1.46667	0	11372	120.33	6.64806	280	82	134	109	0.162878
1.5	0	11376	120.351	6.64923	281	83	134	108	0.162873
1.53333	0	11377	120.356	6.64952	281	83	134	108	0.162871
1.56667	0	11377	120.356	6.64952	281	83	134	108	0.162871
1.6	0	11211	119.475	6.60083	281	82	134	107	0.163347
1.63333	0	11229	119.571	6.60613	281	82	134	107	0.163299
1.66667	0	11229	119.571	6.60613	281	82	134	107	0.163299
1.7	0	8036	nan	5.58852	283	92	0	0	0.183961
1.73333	0	8036	nan	5.58852	283	92	0	0	0.183961
1.76667	0	8036	nan	5.58852	283	92	0	0	0.183961
1.8	0	10302	114.529	6.32758	286	84	132	100	0.167927
1.83333	0	10302	114.529	6.32758	286	84	132	100	0.167927
1.86667	0	10302	114.529	6.32758	286	84	132	100	0.167927
1.9	0	11026	118.485	6.54615	284	82	133	105	0.164491
1.93333	0	11026	118.485	6.54615	284	82	133	105	0.164491
1.96667	0	11026	118.485	6.54615	284	82	133	105	0.164491
2	0	11197	119.4	6.59671	283	82	133	106	0.163714
2.03333	0	11197	119.4	6.59671	283	82	133	106	0.163714
2.06667	0	11197	119.4	6.59671	283	82	133	106	0.163714
2.1	0	81622	nan	17.8107	279	78	0	0	0.33844
2.13333	0	81622	nan	17.8107	279	78	0	0	0.33844
2.16667	0	67152	nan	16.155	315	79	0	0	0.370588
2.2	0	67152	nan	16.155	315	79	0	0	0.370588
2.23333	0	67152	nan	16.155	315	79	0	0	0.370588
2.26667	0	67152	nan	16.155	315	79	0	0	0.370588
2.3	0	10883	117.714	6.50356	284	84	134	106	0.164421
2.33333	0	10886	117.731	6.50445	284	84	134	106	0.164402
2.36667	0	10886	117.731	6.50445	284	84	134	106	0.164402
2.4	0	10833	117.444	6.4886	285	81	129	109	0.162609
2.43333	0	10837	117.465	6.4898	285	81	129	109	0.162587
2.46667	0	10837	117.465	6.4898	285	81	129	109	0.162587
2.5	0	11023	118.469	6.54526	284	81	132	108	0.163816
2.53333	0	11019	118.448	6.54407	284	81	132	108	0.163789
2.56667	0	11019	118.448	6.54407	284	81	132	108	0.163789
2.6	0	10977	118.222	6.53158	284	82	132	108	0.162838
2.63333	0	10977	118.222	6.53158	284	82	132	108	0.162838
2.66667	0	10977	118.222	6.53158	284	82	132	108	0.162838
2.7	0	11120	118.989	6.57399	283	81	132	107	0.162815
2.73333	0	11120	118.989	6.57399	283	81	132	107	0.162815
2.76667	0	11120	118.989	6.57399	283	81	132	107	0.162815
2.8	0	10971	118.189	6.5298	282	83	131	108	0.162825
2.83333	0	10970	118.184	6.5295	282	83	131	108	0.162821
2.86667	0	10970	118.184	6.5295	282	83	131	108	0.162821
2.9	0	11018	118.442	6.54377	281	83	131	106	0.162948
2.93333	0	11018	118.442	6.54377	281	83	131	106	0.162958
2.96667	0	11018	118.442	6.54377	281	83	131	106	0.162958
3	0	11067	118.705	6.55831	281	83	132	107	0.162935
3.03333	0	11068	118.711	6.5586	281	83	132	107	0.162929
